slot,word,n_cells,qwen_probe_mean,qwen_dexE50_mean,qwen_crossed,llava_probe_mean,llava_dexE50_mean,llava_crossed
ANCHOR,bird,1,3.3130728006362915,0.3101670803049327,0,2.205866813659668,3.953401966864774,1
ANCHOR,cello,6,2.859925409158071,2.3057826533631216,3,1.3957322339216869,2.3409863997787372,4
ANCHOR,constrictor,6,1.807173530260722,3.1324490730677073,5,5.185690214236577,0.48364118348668256,0
ANCHOR,flightless bird,2,1.707069993019104,2.688953951877126,2,2.764929234981537,0.38858561419427917,0
ANCHOR,iguana,3,5.149763246377309,1.4089968041628262,1,3.6759360829989114,1.1720763159563083,1
ANCHOR,lizard,2,2.7286767661571503,2.820832470617624,2,4.281625390052795,0.5720507239703643,0
ANCHOR,marimba,3,2.859515756368637,1.299546310103519,1,1.7758881052335103,1.3994990167572874,1
ANCHOR,musical instrument,1,1.1538532972335815,3.0572398358568083,1,16.0051531791687,0.4252889458931255,0
ANCHOR,percussion instrument,2,2.5555567145347595,3.41311523182599,2,6.973962843418122,0.5357961635160087,0
ANCHOR,ratite,3,2.9151942133903503,1.7184351991160234,1,1.9262131651242573,2.20997714701379,2
ANCHOR,snake,2,3.6858174800872803,1.518823894709065,1,1.3978625535964966,3.9586532943442085,2
ANCHOR,songbird,2,3.447829484939575,1.485857754046318,1,1.8494420945644379,1.8412178800386325,1
ANCHOR,sparrow,6,4.309185502429803,1.4927061543563542,2,3.0115496814250946,2.2121829542751135,4
ANCHOR,string instrument,1,6.230503559112549,0.102530428118529,0,0.3612176179885864,2.658506584113694,1
TARGET,bird,3,1.850413203239441,3.570718137123114,3,10.254162152608236,0.4288182342569713,0
TARGET,cello,5,3.2064334750175476,2.0500498899140167,3,2.744882786273956,1.3519411262079941,1
TARGET,constrictor,3,5.545420487721761,0.25382098975802264,0,1.4035955667495728,3.070353792659565,3
TARGET,flightless bird,2,4.644304990768433,0.22979104932604036,0,0.34171050786972046,3.249081471968762,2
TARGET,iguana,2,3.0532845854759216,0.511810117980589,0,4.356418013572693,2.091323778301014,1
TARGET,lizard,3,1.5257361729939778,3.5276300523961823,3,2.7281115452448526,1.381409586333614,1
TARGET,marimba,2,1.732984870672226,2.4815229280074664,1,1.3723693788051605,1.8685755789682705,1
TARGET,percussion instrument,3,6.158951123555501,0.11309493054699615,0,0.6424725850423176,3.682981303226775,3
TARGET,ratite,2,4.494953811168671,0.8644762247687707,0,1.3152071833610535,2.4678938072139434,2
TARGET,reptile,1,4.852149486541748,0.2075272199695548,0,1.6489410996437073,2.394229713104079,1
TARGET,snake,4,3.0887697748839855,3.008013323860789,3,8.688699185848236,0.6597906711389863,0
TARGET,songbird,4,1.6480577290058136,2.527073521356422,3,2.129939839243889,1.0517212727232679,1
TARGET,sparrow,3,2.263307213783264,3.536293484012653,3,2.824018935362498,1.160447088473047,1
TARGET,string instrument,3,1.9547629455725353,2.8045562344058665,3,1.9411410093307495,0.556521035358991,0
